ID;ALIMENTO;Energia Kcal;Carboidrato total;Prote�na;Lip�dios
C0916B;Aipo (salsão), cozido, drenado, s/ óleo, c/ sal, ;21;4,68;0,83;0,08
C0914B;Agrião, cozido, drenado, s/ óleo, c/ sal, ;26;2,95;3,63;0,51
C0800B;Açafrão, pistilo, <i>in natura</i>, Crocus sativus, ;352;65,4;11,4;5,85
C0725B;Abobrinha recheada, c/ sal, (abobrinha grelhada, c/ muçarela, carne bovina, patinho moído, refogado, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal), ;88;4,36;8,74;4,26
C0680B;Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal, ;48;8,22;1,51;1,61
C0355B;Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, ;26;5,92;1,8;0,21
C0354B;Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, ;26;5,93;1,81;0,21
C0270B;Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal, Curcubita spp., ;32;4,78;1,38;1,33
C0269B;Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal, Curcubita spp., ;33;5;1,42;1,34
C0266B;Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal, ;131;12,4;3,78;7,8
C0265B;Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal, ;131;12,4;3,78;7,8
C0264C;Abacaxi, polpa, desidratada, Ananas comosus, ;279;64,9;3,8;1,86
C0264B;Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal, ;27;5,76;1,56;0,19
C0263B;Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, ;27;5,79;1,57;0,19
C0232B;Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal, ;35;2,75;0,96;2,61
C0231B;Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal, ;35;2,76;0,96;2,61
C0228B;Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal, ;26;6,65;0,73;0,13
C0227B;Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, ;26;6,67;0,73;0,13
C0226B;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal, ;38;3,89;1,18;2,52
C0225B;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal, ;38;3,9;1,19;2,53
C0220B;Agrião, cozido, drenado, c/ óleo de soja, c/ sal, ;47;2,88;3,54;2,88
C0219B;Agrião, cozido, drenado, c/ óleo de soja, s/ sal, ;47;2,89;3,55;2,89
C0218C;Abacaxi, polpa, grelhado, c/ canela, ;51;12;0,7;0,34
C0214B;Aipo (salsão), cozido, drenado, s/ óleo, c/ sal, ;19;4,38;0,83;0,08
C0212B;Acelga, cozida, drenada, s/ óleo, c/ sal, ;22;4,07;1,47;0,11
C0211B;Acelga, cozida, drenada, s/ óleo, s/ sal, ;22;4,39;1,47;0,11
C0203T;Acarajé, c/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola, c/ sal), ;270;19;8,31;19,8
C0202B;Acelga, refogada (c/ óleo, cebola e alho), c/ sal, ;35;4,73;1,6;1,31
C0201C;Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa, ;101;18,9;0,75;2,89
C0201B;Acelga, refogada, (c/ óleo, cebola e alho), s/ sal, ;36;5,05;1,6;1,31
C0195C;Abacaxi, cozido, caramelado, ;136;33,3;0,6;0,26
C0185C;Açaí, solteiro, polpa, ;57;5,62;0,78;4,58
C0177C;Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira, (aveia em flocos, flocos de milho, semente de chia e linhaça, coco, mel, oleagionosas - noz, castanha de caju e Brasil, amêndoa e avelã, damasco seco, uva passa, c/ óleo de milho, c/ canela), ;177;29,6;2,71;5,94
C0166B;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal, ;17;3,98;1,21;0,14
C0165B;Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, ;17;3,99;1,22;0,14
C0162B;Agrião, cozido, drenado, s/ óleo, s/ sal, ;27;2,96;3,64;0,52
C0153B;Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal, ;26;4,19;1,07;0,82
C0152B;Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal, ;14;2,82;0,99;0,23
C0151B;Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal, ;30;5,98;0,39;0,8
C0129K;"Achocolatado, ""Ovomaltine"", Ovomaltine, ";373;93,3;0;0
C0104B;Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal, <i>Curcubita pepo</i> L., ;26;4,19;1,07;0,82
C0101N;Achocolatado, em pó, sem adição de açúcar, ;362;71,9;15,5;3
C0101B;Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal, Cucurbita maxima, ;30;5,98;0,39;0,8
C0095C;Açaí, polpa, com xarope de guaraná e glucose, ;118;21,5;0,72;3,66
C0090N;Adoçante, aspartame, em pó, ;365;89,1;2,17;0
C0069C;Abiu, <i>in natura</i>, <i>Lucuma caimito</i> (Ruiz ;66;14,9;0,83;0,7
C0064B;Abóbora, paulista, crua, <i>Cucurbita maxima</i> Duchesne, ;30;7,87;0,64;0,14
C0061T;Acarajé, s/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola, s/ sal), ;271;19,1;8,35;19,9
C0059B;Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, <i>Cucurbita maxima</i> x <i>Cucurbita moschata</i>, ;50;10,8;1,44;0,73
C0056N;Adoçante, sucralose, em pó, ;365;91,2;0;0
C0055D;Óleo, linhaça, Linum usitatissimum, ;899;0;0,11;99,8
C0054D;Óleo, gergelim, ;900;0;0;100
C0054C;Abacaxi, polpa, congelada, <i>Ananas comosus</i> L., ;33;7,8;0,47;0,11
C0053D;Óleo, soja, assado, Glycine max, ;900;0;0;100
C0052D;Óleo, milho, assado, Zea mays, ;900;0;0;100
C0051D;Óleo, girassol, assado, <i>Helianthus annus</i> L., ;900;0;0;100
C0050D;Óleo, canola, assado, <i>Arachis hypogaea</i> L., ;900;0;0;100
C0048D;Óleo, soja, frito, Glycine max, ;900;0;0;100
C0047D;Óleo, milho, frito, Zea mays, ;900;0;0;100
C0046D;Óleo, girassol, frito, <i>Helianthus annus</i> L., ;900;0;0;100
